"","Rep_2020_Pres","Dem_2020_Pres","Total_2020_Pres","District"
"419",184877,130115,324983,"WA-04"
"420",222219,180837,418124,"WA-05"
"421",177181,253642,447088,"WA-06"
"422",51406,396920,459934,"WA-07"
"423",197513,226805,438960,"WA-08"
"424",94106,254175,357982,"WA-09"
"425",149920,216908,381232,"WA-10"
"426",197967,190061,394844,"WI-01"
"427",125909,310854,444219,"WI-02"
"428",203595,185099,396407,"WI-03"
"429",78277,260129,344275,"WI-04"
"430",282392,175992,465847,"WI-05"
"431",236887,171838,416291,"WI-06"
"432",250172,165840,423145,"WI-07"
"433",234775,170935,412681,"WI-08"
"434",273523,112947,392576,"WV-01"
"435",271859,123037,402076,"WV-02"
